ID,Name,Lic_Date
48435,Okresní státní zastupitelství v Trutnově,31.05.2022
48436,Okresní státní zastupitelství v Ústí nad Orlicí,31.05.2022
48426,Okresní státní zastupitelství v Hradci Králové,31.05.2022
48091,Krajské státní zastupitelství v Ostravě,31.05.2022
48015,Okresní státní zastupitelství ve Frýdku-Místku,01.08.2020
48016,Okresní státní zastupitelství v Karviné,31.05.2022
48017,Okresní státní zastupitelství v Karviné - pobočka v Havířově,31.05.2022
48437,Okresní státní zastupitelství v Bruntále,01.08.2020
48438,Okresní státní zastupitelství v Jeseníku,31.05.2022
48441,Okresní státní zastupitelství v Opavě,01.08.2020
48442,Okresní státní zastupitelství v Ostravě,31.05.2022
48018,Krajské státní zastupitelství v Plzni,31.05.2022
48218,Okresní státní zastupitelství v Domažlicích,31.05.2022
48219,Okresní státní zastupitelství v Klatovech,31.05.2020
48224,Okresní státní zastupitelství Plzeň-jih,31.05.2020
48222,Okresní státní zastupitelství Plzeň-město,AT20200622
48220,Okresní státní zastupitelství v Rokycanech,31.05.2022
48221,Okresní státní zastupitelství v Tachově,AT20200622
48376,Krajské státní zastupitelství v Praze,31.05.2022
48387,Okresní státní zastupitelství v Příbrami,31.05.2022
48408,Krajské státní zastupitelství v Ústí nad Labem - pobočka v Liberci,31.05.2022
30886,Okresní státní zastupitelství v Děčíně,31.05.2020
48399,Okresní státní zastupitelství v Ústí nad Labem,31.05.2022
48404,Okresní státní zastupitelství v Litoměřicích,31.05.2020
48406,Okresní státní zastupitelství v Mostě,31.05.2022
48401,Okresní státní zastupitelství v Chomutově,31.05.2022
42390,Generální ředitelství Vězeňské služby ČR,31.05.2022
51019,Institut pro kriminologii a sociální prevenci,31.05.2020
49112,Justiční areál na Míčánkách,31.05.2022
